Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;12.4;12.7;12.5;26.0;14.6;11.7;31.4;15.8;14.2;14.6
2;15.5;17.3;17.1;34.7;19.8;16.3;47.0;19.4;19.2;18.5
3;20.0;20.3;19.5;48.0;28.8;25.8;54.2;23.1;23.5;24.0
4;25.9;24.7;24.1;94.0;39.3;28.8;68.0;28.6;27.2;29.6
5;27.9;29.3;27.3;;74.0;66.6;77.0;32.7;31.9;31.3
6;30.8;32.1;30.6;;83.8;88.2;81.3;37.5;37.4;35.2
7;34.9;33.1;36.1;;106.2;103.1;95.6;36.1;35.7;38.9
8;38.1;36.2;39.8;;129.2;132.6;111.1;40.1;37.1;40.1
9;41.6;42.2;41.9;;201.6;173.6;106.4;25.4;45.6;45.2
10;42.6;42.9;44.1;;370.4;390.6;144.1;;47.9;50.0
