Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;13.2;12.8;12.9;24.0;12.0;11.7;32.4;15.6;15.0;16.0
2;17.1;18.1;18.0;32.8;16.6;16.2;47.2;19.5;20.1;18.4
3;19.5;21.1;19.5;45.1;22.7;26.2;56.3;23.8;23.8;24.1
4;27.8;26.1;24.1;88.3;31.0;28.4;71.8;30.0;29.6;29.6
5;30.0;31.0;28.6;;55.7;63.8;89.4;32.3;35.2;31.9
6;32.2;33.4;30.9;;72.6;85.6;83.6;36.5;36.0;36.3
7;35.4;34.1;36.8;;81.2;91.2;99.4;34.9;37.0;36.2
8;37.3;38.6;38.5;;113.6;133.3;118.2;44.8;41.0;39.3
9;43.0;37.3;43.8;;151.5;165.0;112.4;24.3;47.4;46.3
10;41.5;44.2;45.2;;144.5;333.3;135.9;;48.0;49.6
