Metric;Value
Total rolls;19645
;
Category;Estimated Weight
ATK;13.6234%
Break Effect;4.3705%
CRIT DMG;8.8162%
CRIT Rate;7.3301%
DEF;13.8011%
Debuff Hit Rate;11.8845%
Debuff RES;11.7235%
HP Recovery;11.5312%
Max HP;13.9495%
SPD;2.9701%
;
Tier Distributions;
ATK;
ATK +6;20.1749%
ATK +7;14.5137%
ATK +8;12.5959%
ATK +9;10.1718%
ATK +10;8.3768%
ATK +12;7.6864%
ATK +15;7.5483%
ATK +20;6.9960%
ATK +30;6.2749%
Increases ATK by 60.;5.6612%
Break Effect;
Increases break effect by 5%.;21.6165%
Increases break effect by 5.2%.;14.6341%
Increases break effect by 5.4%.;12.0995%
Increases break effect by 5.6%.;9.8039%
Increases break effect by 5.8%.;8.9431%
Increases break effect by 6%.;8.5605%
Increases break effect by 6.2%.;7.2214%
Increases break effect by 6.4%.;6.1693%
Increases break effect by 6.6%.;5.9302%
Increases break effect by 12%.;5.0215%
CRIT DMG;
Increases critical DMG by 0.9%.;31.4367%
Increases critical DMG by 1.8%.;22.4040%
Increases critical DMG by 2.7%.;14.4618%
Increases critical DMG by 3.6%.;12.5178%
Increases critical DMG by 4.5%.;5.6188%
Increases critical DMG by 5.4%.;4.1726%
Increases critical DMG by 6.3%.;3.7459%
Increases critical DMG by 7.2%.;2.7027%
Increases critical DMG by 8.1%.;1.9440%
Increases critical DMG by 10%.;0.9957%
CRIT Rate;
Increases critical rate by 0.5%.;29.7120%
Increases critical rate by 1%.;21.4143%
Increases critical rate by 1.5%.;15.5118%
Increases critical rate by 2%.;11.2917%
Increases critical rate by 2.5%.;5.9880%
Increases critical rate by 3%.;5.1041%
Increases critical rate by 3.5%.;4.2486%
Increases critical rate by 4%.;3.3077%
Increases critical rate by 4.5%.;2.2812%
Increases critical rate by 5%.;1.1406%
DEF;
DEF +5;19.8546%
DEF +6;14.8417%
DEF +7;12.6912%
DEF +8;10.2226%
DEF +9;9.0111%
DEF +10;8.1478%
DEF +11;6.9665%
DEF +15;6.5425%
DEF +23;5.9973%
DEF +45;5.7247%
Debuff Hit Rate;
Increases debuff hit rate by 1%.;19.7327%
Increases debuff hit rate by 1.2%.;14.6852%
Increases debuff hit rate by 1.5%.;12.3989%
Increases debuff hit rate by 2%.;10.2181%
Increases debuff hit rate by 2.5%.;8.6352%
Increases debuff hit rate by 3.5%.;7.6328%
Increases debuff hit rate by 4%.;7.5273%
Increases debuff hit rate by 3%.;7.2283%
Increases debuff hit rate by 4.5%.;6.2082%
Increases debuff hit rate by 8%.;5.7334%
Debuff RES;
Increases debuff RES by 1%.;19.1300%
Increases debuff RES by 1.2%.;15.3503%
Increases debuff RES by 1.5%.;11.7311%
Increases debuff RES by 2%.;9.6452%
Increases debuff RES by 2.5%.;9.0212%
Increases debuff RES by 3%.;8.2011%
Increases debuff RES by 3.5%.;7.4880%
Increases debuff RES by 4%.;7.1849%
Increases debuff RES by 4.5%.;6.3469%
Increases Debuff RES by 8%.;5.9012%
HP Recovery;
Increases HP recovery amount by 1%.;19.0321%
Increases HP recovery amount by 1.2%.;14.7725%
Increases HP recovery amount by 1.5%.;12.6156%
Increases HP recovery amount by 8%.;11.7455%
Increases HP recovery amount by 2%.;10.1504%
Increases HP recovery amount by 2.5%.;8.8454%
Increases HP recovery amount by 3.5%.;8.1022%
Increases HP recovery amount by 3%.;7.8303%
Increases HP recovery amount by 4%.;6.9059%
Max HP;
Max HP +40;19.7633%
Max HP +82;15.7776%
Max HP +124;12.5862%
Max HP +166;9.7543%
Max HP +208;8.7054%
Max HP +251;7.8663%
Max HP +293;7.0722%
Max HP +335;6.4729%
Max HP +377;6.0833%
Max HP +420;5.9185%
SPD;
Increases SPD by 1.;39.3385%
Increases SPD by 2.;29.2752%
Increases SPD by 3.;20.4785%
Increases SPD by 4.;10.9078%
