Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;1319;1315;1311;559;1042;1326;452;1050;1122;1073
2;1053;946;980;416;751;945;306;815;835;861
3;840;821;838;291;544;610;253;696;705;658
4;651;663;675;155;396;528;205;560;581;541
5;581;546;595;;210;237;187;488;491;506
6;525;501;538;;179;176;179;432;411;460
7;472;492;460;;149;158;151;447;434;420
8;432;456;432;;116;114;129;381;428;403
9;406;409;396;;80;82;124;648;353;356
10;395;369;378;;40;42;105;;326;331
