Tier;Max HP;ATK;DEF;SPD;CRIT Rate;CRIT DMG;Break Effect;HP Recovery;Debuff Hit Rate;Debuff RES
1;966;980;975;459;1002;1002;335;789;822;778
2;745;689;699;340;715;725;227;612;589;666
3;624;612;634;243;519;459;185;510;521;494
4;457;481;513;127;377;406;158;414;420;413
5;419;403;447;;207;184;150;370;356;374
6;396;377;397;;172;138;134;325;335;343
7;343;367;346;;145;130;109;350;321;325
8;321;333;326;;111;86;102;286;305;313
9;292;320;289;;77;68;98;508;269;269
10;301;283;289;;37;27;81;;254;244
